Time,PlayerX,PlayerY,HazardX,HazardY,GameState
2024-07-08 10:20:54.060,0,0,0,0.4499999,1
2024-07-08 10:20:54.067,1.395674,-0.6982741,0,0.4499999,0
2024-07-08 10:20:54.068,1.395674,-0.6982741,0,0.4499999,3
2024-07-08 10:20:54.070,1.395674,-0.6982741,0,0.4499999,1
2024-07-08 10:20:54.075,0,0,0,0.8499999,3
2024-07-08 10:20:54.076,0,0,0,0.8499999,1
2024-07-08 10:20:54.084,0,0,0,0.8499999,3
2024-07-08 10:20:54.085,0,0,0,0.8499999,1
2024-07-08 10:20:54.092,0,0,0,0.8499999,3
2024-07-08 10:20:54.092,0,0,0,0.8499999,1
2024-07-08 10:20:54.102,0,0,0,0.8499999,3
2024-07-08 10:20:54.102,0,0,0,0.8499999,1
2024-07-08 10:20:54.108,1.395674,-0.6982741,0,0.8499999,0
2024-07-08 10:20:54.109,1.395674,-0.6982741,0,0.8499999,3
2024-07-08 10:20:54.110,1.395674,-0.6982741,0,0.8499999,1
2024-07-08 10:20:54.117,0,0,0,1.25,3
2024-07-08 10:20:54.118,0,0,0,1.25,1
2024-07-08 10:20:54.125,0,0,0,1.25,3
2024-07-08 10:20:54.127,0,0,0,1.25,1
2024-07-08 10:20:54.134,0,0,0,1.25,3
2024-07-08 10:20:54.135,0,0,0,1.25,1
2024-07-08 10:20:54.142,1.395674,-0.6982741,0,1.25,0
2024-07-08 10:20:54.144,1.395674,-0.6982741,0,1.25,3
2024-07-08 10:20:54.145,1.395674,-0.6982741,0,1.25,1
2024-07-08 10:20:54.151,0,0,0,1.65,3
2024-07-08 10:20:54.152,0,0,0,1.65,1
2024-07-08 10:20:54.159,0,0,0,1.65,3
2024-07-08 10:20:54.161,0,0,0,1.65,1
2024-07-08 10:20:54.168,0,0,0,1.65,3
2024-07-08 10:20:54.169,0,0,0,1.65,1
2024-07-08 10:20:54.176,0,0,0,1.65,3
2024-07-08 10:20:54.177,0,0,0,1.65,1
2024-07-08 10:20:54.185,1.395674,-0.6982741,0,1.65,0
2024-07-08 10:20:54.186,1.395674,-0.6982741,0,1.65,3
2024-07-08 10:20:54.186,1.395674,-0.6982741,0,1.65,1
2024-07-08 10:20:54.193,0,0,0,2.05,3
2024-07-08 10:20:54.194,0,0,0,2.05,1
2024-07-08 10:20:54.201,0,0,0,2.05,3
2024-07-08 10:20:54.202,0,0,0,2.05,1
2024-07-08 10:20:54.209,0,0,0,2.05,3
2024-07-08 10:20:54.210,0,0,0,2.05,1
2024-07-08 10:20:54.217,0,0,0,2.05,3
2024-07-08 10:20:54.217,0,0,0,2.05,1
2024-07-08 10:20:54.225,1.395674,-0.6982741,0,2.05,0
2024-07-08 10:20:54.227,1.395674,-0.6982741,0,2.05,3
2024-07-08 10:20:54.227,1.395674,-0.6982741,0,2.05,1
2024-07-08 10:20:54.234,0,0,0,2.45,3
2024-07-08 10:20:54.234,0,0,0,2.45,1
2024-07-08 10:20:54.243,0,0,0,2.45,3
2024-07-08 10:20:54.243,0,0,0,2.45,1
2024-07-08 10:20:54.251,0,0,0,2.45,3
2024-07-08 10:20:54.252,0,0,0,2.45,1
2024-07-08 10:20:54.259,0,0,0,2.45,3
2024-07-08 10:20:54.260,0,0,0,2.45,1
2024-07-08 10:20:54.267,1.395674,-0.6982741,0,2.45,0
2024-07-08 10:20:54.270,1.395674,-0.6982741,0,2.45,3
2024-07-08 10:20:54.271,1.395674,-0.6982741,0,2.45,1
2024-07-08 10:20:54.276,0,0,0,2.85,3
2024-07-08 10:20:54.276,0,0,0,2.85,1
2024-07-08 10:20:54.283,0,0,0,2.85,3
2024-07-08 10:20:54.285,0,0,0,2.85,1
2024-07-08 10:20:54.293,0,0,0,2.85,3
2024-07-08 10:20:54.294,0,0,0,2.85,1
2024-07-08 10:20:54.302,0,0,0,2.85,3
2024-07-08 10:20:54.302,0,0,0,2.85,1
2024-07-08 10:20:54.308,1.395674,-0.6982741,0,2.85,0
2024-07-08 10:20:54.311,1.395674,-0.6982741,0,2.85,3
2024-07-08 10:20:54.312,1.395674,-0.6982741,0,2.85,1
2024-07-08 10:20:54.317,0,0,0,3.25,3
2024-07-08 10:20:54.319,0,0,0,3.25,1
2024-07-08 10:20:54.326,0,0,0,3.25,3
2024-07-08 10:20:54.327,0,0,0,3.25,1
2024-07-08 10:20:54.334,0,0,0,3.25,3
2024-07-08 10:20:54.335,0,0,0,3.25,1
2024-07-08 10:20:54.342,1.399004,-0.6990794,0,3.25,0
2024-07-08 10:20:54.345,1.399004,-0.6990794,0,3.25,3
2024-07-08 10:20:54.346,1.399004,-0.6990794,0,3.25,1
2024-07-08 10:20:54.352,0,0,-11.19149,10.85964,3
2024-07-08 10:20:54.353,0,0,-11.19149,10.85964,1
2024-07-08 10:20:54.360,0,0,-11.19149,10.85964,3
2024-07-08 10:20:54.362,0,0,-11.19149,10.85964,1
2024-07-08 10:20:54.368,0,0,-11.19149,10.85964,3
2024-07-08 10:20:54.369,0,0,-11.19149,10.85964,1
2024-07-08 10:20:54.377,0,0,-11.19149,10.85964,3
2024-07-08 10:20:54.378,0,0,-11.19149,10.85964,1
2024-07-08 10:20:54.383,1.397408,-0.7001979,-11.19149,10.85964,0
2024-07-08 10:20:54.385,1.397408,-0.7001979,-11.19149,10.85964,3
2024-07-08 10:20:54.386,1.397408,-0.7001979,-11.19149,10.85964,1
2024-07-08 10:20:54.403,0,0,-11.19149,11.25964,3
2024-07-08 10:20:54.404,0,0,-11.19149,11.25964,1
2024-07-08 10:20:54.409,0,0,-11.19149,11.25964,3
2024-07-08 10:20:54.410,0,0,-11.19149,11.25964,1
2024-07-08 10:20:54.417,0,0,-11.19149,11.25964,3
2024-07-08 10:20:54.418,0,0,-11.19149,11.25964,1
2024-07-08 10:20:54.425,1.399278,-0.705161,-11.19149,11.25964,0
2024-07-08 10:20:54.428,1.399278,-0.705161,-11.19149,11.25964,3
2024-07-08 10:20:54.429,1.399278,-0.705161,-11.19149,11.25964,1
2024-07-08 10:20:54.435,0,0,-11.19149,11.65964,3
2024-07-08 10:20:54.436,0,0,-11.19149,11.65964,1
2024-07-08 10:20:54.444,0,0,-11.19149,11.65964,3
2024-07-08 10:20:54.444,0,0,-11.19149,11.65964,1
2024-07-08 10:20:54.450,0,0,-11.19149,11.65964,3
2024-07-08 10:20:54.450,0,0,-11.19149,11.65964,1
2024-07-08 10:20:54.458,0,0,-11.19149,11.65964,3
2024-07-08 10:20:54.459,0,0,-11.19149,11.65964,1
2024-07-08 10:20:54.466,1.397912,-0.7123491,-11.19149,11.65964,0
2024-07-08 10:20:54.467,1.397912,-0.7123491,-11.19149,11.65964,3
2024-07-08 10:20:54.469,1.397912,-0.7123491,-11.19149,11.65964,1
2024-07-08 10:20:54.475,0,0,-11.19149,12.05964,3
2024-07-08 10:20:54.477,0,0,-11.19149,12.05964,1
2024-07-08 10:20:54.483,0,0,-11.19149,12.05964,3
2024-07-08 10:20:54.484,0,0,-11.19149,12.05964,1
2024-07-08 10:20:54.498,0,0,-11.19149,12.05964,3
2024-07-08 10:20:54.500,0,0,-11.19149,12.05964,1
2024-07-08 10:20:54.514,1.403086,-0.7180978,-11.19149,12.05964,0
2024-07-08 10:20:54.516,1.403086,-0.7180978,-11.19149,12.05964,3
2024-07-08 10:20:54.516,1.403086,-0.7180978,-11.19149,12.05964,1
2024-07-08 10:20:54.523,0,0,-11.19149,12.45964,3
2024-07-08 10:20:54.525,0,0,-11.19149,12.45964,1
2024-07-08 10:20:54.530,0,0,-11.19149,12.45964,3
2024-07-08 10:20:54.532,0,0,-11.19149,12.45964,1
2024-07-08 10:20:54.539,0,0,-11.19149,12.45964,3
2024-07-08 10:20:54.540,0,0,-11.19149,12.45964,1
2024-07-08 10:20:54.548,1.403189,-0.7211257,-11.19149,12.45964,0
2024-07-08 10:20:54.550,1.403189,-0.7211257,-11.19149,12.45964,3
2024-07-08 10:20:54.550,1.403189,-0.7211257,-11.19149,12.45964,1
2024-07-08 10:20:54.557,0,0,-11.19149,12.85964,3
2024-07-08 10:20:54.559,0,0,-11.19149,12.85964,1
2024-07-08 10:20:54.565,0,0,-11.19149,12.85964,3
2024-07-08 10:20:54.566,0,0,-11.19149,12.85964,1
2024-07-08 10:20:54.572,0,0,-11.19149,12.85964,3
2024-07-08 10:20:54.573,0,0,-11.19149,12.85964,1
2024-07-08 10:20:54.580,1.404909,-0.7230383,-11.19149,12.85964,0
2024-07-08 10:20:54.585,1.404909,-0.7230383,-11.19149,12.85964,3
2024-07-08 10:20:54.586,1.404909,-0.7230383,-11.19149,12.85964,1
2024-07-08 10:20:54.593,0,0,-11.19149,13.25963,3
2024-07-08 10:20:54.593,0,0,-11.19149,13.25963,1
2024-07-08 10:20:54.601,0,0,-11.19149,13.25963,3
2024-07-08 10:20:54.602,0,0,-11.19149,13.25963,1
2024-07-08 10:20:54.608,0,0,-11.19149,13.25963,3
2024-07-08 10:20:54.609,0,0,-11.19149,13.25963,1
2024-07-08 10:20:54.615,0,0,-11.19149,13.25963,3
2024-07-08 10:20:54.616,0,0,-11.19149,13.25963,1
2024-07-08 10:20:54.622,1.409976,-0.7257466,-11.19149,13.25963,0
2024-07-08 10:20:54.624,1.409976,-0.7257466,-11.19149,13.25963,3
2024-07-08 10:20:54.626,1.409976,-0.7257466,-11.19149,13.25963,1
2024-07-08 10:20:54.632,0,0,-11.19149,13.65963,3
2024-07-08 10:20:54.634,0,0,-11.19149,13.65963,1
2024-07-08 10:20:54.641,0,0,-11.19149,13.65963,3
2024-07-08 10:20:54.642,0,0,-11.19149,13.65963,1
2024-07-08 10:20:54.648,0,0,-11.19149,13.65963,3
2024-07-08 10:20:54.651,0,0,-11.19149,13.65963,1
2024-07-08 10:20:54.658,0,0,-11.19149,13.65963,3
2024-07-08 10:20:54.660,0,0,-11.19149,13.65963,1
2024-07-08 10:20:54.667,1.413419,-0.7295644,-11.19149,13.65963,0
2024-07-08 10:20:54.670,1.413419,-0.7295644,-11.19149,13.65963,3
2024-07-08 10:20:54.671,1.413419,-0.7295644,-11.19149,13.65963,1
2024-07-08 10:20:54.678,0,0,-11.19149,14.05963,3
2024-07-08 10:20:54.678,0,0,-11.19149,14.05963,1
2024-07-08 10:20:54.685,0,0,-11.19149,14.05963,3
2024-07-08 10:20:54.687,0,0,-11.19149,14.05963,1
2024-07-08 10:20:54.692,0,0,-11.19149,14.05963,3
2024-07-08 10:20:54.694,0,0,-11.19149,14.05963,1
2024-07-08 10:20:54.700,0,0,-11.19149,14.05963,3
2024-07-08 10:20:54.700,0,0,-11.19149,14.05963,1
2024-07-08 10:20:54.708,1.4252,-0.7338521,-11.19149,14.05963,0
2024-07-08 10:20:54.711,1.4252,-0.7338521,-11.19149,14.05963,3
2024-07-08 10:20:54.712,1.4252,-0.7338521,-11.19149,14.05963,1
2024-07-08 10:20:54.718,0,0,-11.19149,14.45963,3
2024-07-08 10:20:54.720,0,0,-11.19149,14.45963,1
2024-07-08 10:20:54.725,0,0,-11.19149,14.45963,3
2024-07-08 10:20:54.727,0,0,-11.19149,14.45963,1
2024-07-08 10:20:54.732,0,0,-11.19149,14.45963,3
2024-07-08 10:20:54.734,0,0,-11.19149,14.45963,1
2024-07-08 10:20:54.741,0,0,-11.19149,14.45963,3
2024-07-08 10:20:54.742,0,0,-11.19149,14.45963,1
2024-07-08 10:20:54.748,1.428646,-0.7376583,-11.19149,14.45963,0
2024-07-08 10:20:54.751,1.428646,-0.7376583,-11.19149,14.45963,3
2024-07-08 10:20:54.752,1.428646,-0.7376583,-11.19149,14.45963,1
2024-07-08 10:20:54.759,0,0,-11.19149,14.85963,3
2024-07-08 10:20:54.760,0,0,-11.19149,14.85963,1
2024-07-08 10:20:54.767,0,0,-11.19149,14.85963,3
2024-07-08 10:20:54.768,0,0,-11.19149,14.85963,1
2024-07-08 10:20:54.775,0,0,-11.19149,14.85963,3
2024-07-08 10:20:54.777,0,0,-11.19149,14.85963,1
2024-07-08 10:20:54.782,1.438817,-0.7430378,-11.19149,14.85963,0
2024-07-08 10:20:54.785,1.438817,-0.7430378,-11.19149,14.85963,3
2024-07-08 10:20:54.787,1.438817,-0.7430378,-11.19149,14.85963,1
2024-07-08 10:20:54.794,0,0,-11.19149,15.25963,3
2024-07-08 10:20:54.796,0,0,-11.19149,15.25963,1
2024-07-08 10:20:54.803,0,0,-11.19149,15.25963,3
2024-07-08 10:20:54.805,0,0,-11.19149,15.25963,1
2024-07-08 10:20:54.813,0,0,-11.19149,15.25963,3
2024-07-08 10:20:54.815,0,0,-11.19149,15.25963,1
2024-07-08 10:20:54.823,1.457386,-0.7488614,-11.19149,15.25963,0
2024-07-08 10:20:54.826,1.457386,-0.7488614,-11.19149,15.25963,3
