Time,Encoder1,Encoder2
20-07-2024 12:53:53.538,0,0
20-07-2024 12:53:53.550,0,0
20-07-2024 12:53:53.557,0,0
20-07-2024 12:53:53.564,0,0
20-07-2024 12:53:53.566,0,0
20-07-2024 12:53:53.569,0,0
20-07-2024 12:53:53.573,0,0
20-07-2024 12:53:53.576,0,0
20-07-2024 12:53:53.580,0,0
20-07-2024 12:53:53.585,0,0
20-07-2024 12:53:53.589,0,0
20-07-2024 12:53:53.594,0,0
20-07-2024 12:53:53.597,0,0
20-07-2024 12:53:53.603,0,0
20-07-2024 12:53:53.608,0,0
20-07-2024 12:53:53.612,0,0
20-07-2024 12:53:53.616,0,0
20-07-2024 12:53:53.619,0,0
20-07-2024 12:53:53.625,0,0
20-07-2024 12:53:53.632,0,0
20-07-2024 12:53:53.637,0,0
20-07-2024 12:53:53.642,0,0
20-07-2024 12:53:53.649,0,0
20-07-2024 12:53:53.653,0,0
20-07-2024 12:53:53.657,0,0
20-07-2024 12:53:53.661,0,0
20-07-2024 12:53:53.667,0,0
20-07-2024 12:53:53.670,0,0
20-07-2024 12:53:53.673,0,0
20-07-2024 12:53:53.678,0,0
20-07-2024 12:53:53.684,0,0
20-07-2024 12:53:53.688,0,0
20-07-2024 12:53:53.693,0,0
20-07-2024 12:53:53.698,0,0
20-07-2024 12:53:53.705,0,0
20-07-2024 12:53:53.710,0,0
20-07-2024 12:53:53.714,0,0
20-07-2024 12:53:53.718,0,0
20-07-2024 12:53:53.723,0,0
20-07-2024 12:53:53.726,0,0
20-07-2024 12:53:53.731,0,0
20-07-2024 12:53:53.735,0,0
20-07-2024 12:53:53.738,0,0
20-07-2024 12:53:53.743,0,0
20-07-2024 12:53:53.748,0,0
20-07-2024 12:53:53.752,0,0
20-07-2024 12:53:53.757,0,0
20-07-2024 12:53:53.760,0,0
20-07-2024 12:53:53.765,0,0
20-07-2024 12:53:53.770,0,0
20-07-2024 12:53:53.775,0,0
20-07-2024 12:53:53.778,0,0
20-07-2024 12:53:53.784,0,0
20-07-2024 12:53:53.790,0,0
20-07-2024 12:53:53.795,0,0
20-07-2024 12:53:53.800,0,0
20-07-2024 12:53:53.806,0,0
20-07-2024 12:53:53.809,0,0
20-07-2024 12:53:53.813,0,0
20-07-2024 12:53:53.823,0,0
20-07-2024 12:53:53.828,0,0
20-07-2024 12:53:53.835,0,0
20-07-2024 12:53:53.839,0,0
20-07-2024 12:53:53.845,0,0
20-07-2024 12:53:53.849,0,0
20-07-2024 12:53:53.854,0,0
20-07-2024 12:53:53.860,0,0
20-07-2024 12:53:53.869,0,0
20-07-2024 12:53:53.874,0,0
20-07-2024 12:53:53.880,0,0
20-07-2024 12:53:53.885,0,0
20-07-2024 12:53:53.889,0,0
20-07-2024 12:53:53.892,0,0
20-07-2024 12:53:53.898,0,0
20-07-2024 12:53:53.903,0,0
20-07-2024 12:53:53.906,0,0
20-07-2024 12:53:53.908,0,0
20-07-2024 12:53:53.910,0,0
20-07-2024 12:53:53.911,0,0
20-07-2024 12:53:53.914,0,0
20-07-2024 12:53:53.915,0,0
20-07-2024 12:53:53.917,0,0
20-07-2024 12:53:53.919,0,0
20-07-2024 12:53:53.922,0,0
20-07-2024 12:53:53.924,0,0
20-07-2024 12:53:53.926,0,0
20-07-2024 12:53:53.928,0,0
20-07-2024 12:53:53.931,0,0
20-07-2024 12:53:53.933,0,0
20-07-2024 12:53:53.936,0,0
20-07-2024 12:53:53.938,0,0
20-07-2024 12:53:53.943,0,0
20-07-2024 12:53:53.944,0,0
20-07-2024 12:53:53.945,0,0
20-07-2024 12:53:53.948,0,0
20-07-2024 12:53:53.951,0,0
20-07-2024 12:53:53.953,0,0
20-07-2024 12:53:53.957,0,0
20-07-2024 12:53:53.959,0,0
20-07-2024 12:53:53.963,0,0
20-07-2024 12:53:53.966,0,0
20-07-2024 12:53:53.968,0,0
20-07-2024 12:53:53.971,0,0
20-07-2024 12:53:53.974,0,0
20-07-2024 12:53:53.976,0,0
20-07-2024 12:53:53.978,0,0
20-07-2024 12:53:53.979,0,0
20-07-2024 12:53:53.982,0,0
20-07-2024 12:53:53.984,0,0
20-07-2024 12:53:53.986,0,0
20-07-2024 12:53:53.988,0,0
20-07-2024 12:53:53.991,0,0
20-07-2024 12:53:53.993,0,0
20-07-2024 12:53:53.998,0,0
20-07-2024 12:53:54.000,0,0
20-07-2024 12:53:54.004,0,0
20-07-2024 12:53:54.008,0,0
20-07-2024 12:53:54.013,0,0
20-07-2024 12:53:54.018,0,0
20-07-2024 12:53:54.023,0,0
20-07-2024 12:53:54.028,0,0
20-07-2024 12:53:54.031,0,0
20-07-2024 12:53:54.035,0,0
20-07-2024 12:53:54.040,0,0
20-07-2024 12:53:54.045,0,0
20-07-2024 12:53:54.050,0,0
20-07-2024 12:53:54.057,0,0
20-07-2024 12:53:54.062,0,0
20-07-2024 12:53:54.064,0,0
20-07-2024 12:53:54.068,0,0
20-07-2024 12:53:54.073,0,0
20-07-2024 12:53:54.078,0,0
20-07-2024 12:53:54.084,0,0
20-07-2024 12:53:54.089,0,0
20-07-2024 12:53:54.091,0,0
20-07-2024 12:53:54.094,0,0
20-07-2024 12:53:54.099,0,0
20-07-2024 12:53:54.104,0,0
20-07-2024 12:53:54.109,0,0
20-07-2024 12:53:54.115,0,0
20-07-2024 12:53:54.120,0,0
20-07-2024 12:53:54.125,0,0
20-07-2024 12:53:54.130,0,0
20-07-2024 12:53:54.136,0,0
20-07-2024 12:53:54.140,0,0
20-07-2024 12:53:54.143,0,0
20-07-2024 12:53:54.146,0,0
20-07-2024 12:53:54.150,0,0
20-07-2024 12:53:54.153,0,0
20-07-2024 12:53:54.155,0,0
20-07-2024 12:53:54.158,0,0
20-07-2024 12:53:54.159,0,0
20-07-2024 12:53:54.161,0,0
20-07-2024 12:53:54.165,0,0
20-07-2024 12:53:54.167,0,0
20-07-2024 12:53:54.168,0,0
20-07-2024 12:53:54.171,0,0
20-07-2024 12:53:54.174,0,0
20-07-2024 12:53:54.176,0,0
20-07-2024 12:53:54.179,0,0
20-07-2024 12:53:54.181,0,0
20-07-2024 12:53:54.183,0,0
20-07-2024 12:53:54.185,0,0
20-07-2024 12:53:54.186,0,0
20-07-2024 12:53:54.189,0,0
20-07-2024 12:53:54.191,0,0
20-07-2024 12:53:54.194,0,0
20-07-2024 12:53:54.197,0,0
20-07-2024 12:53:54.200,0,0
20-07-2024 12:53:54.205,0,0
20-07-2024 12:53:54.208,0,0
20-07-2024 12:53:54.210,0,0
20-07-2024 12:53:54.213,0,0
20-07-2024 12:53:54.216,0,0
20-07-2024 12:53:54.218,0,0
20-07-2024 12:53:54.220,0,0
20-07-2024 12:53:54.222,0,0
20-07-2024 12:53:54.226,0,0
20-07-2024 12:53:54.228,0,0
20-07-2024 12:53:54.231,0,0
20-07-2024 12:53:54.234,0,0
20-07-2024 12:53:54.238,0,0
20-07-2024 12:53:54.241,0,0
20-07-2024 12:53:54.243,0,0
20-07-2024 12:53:54.244,0,0
20-07-2024 12:53:54.246,0,0
20-07-2024 12:53:54.249,0,0
20-07-2024 12:53:54.250,0,0
20-07-2024 12:53:54.253,0,0
20-07-2024 12:53:54.256,0,0
20-07-2024 12:53:54.259,0,0
20-07-2024 12:53:54.263,0,0
20-07-2024 12:53:54.266,0,0
20-07-2024 12:53:54.269,0,0
20-07-2024 12:53:54.271,0,0
20-07-2024 12:53:54.274,0,0
20-07-2024 12:53:54.278,0,0
20-07-2024 12:53:54.282,0,0
20-07-2024 12:53:54.287,0,0
20-07-2024 12:53:54.291,0,0
20-07-2024 12:53:54.297,0,0
20-07-2024 12:53:54.299,0,0
20-07-2024 12:53:54.303,0,0
20-07-2024 12:53:54.304,0,0
20-07-2024 12:53:54.306,0,0
20-07-2024 12:53:54.308,0,0
20-07-2024 12:53:54.311,0,0
20-07-2024 12:53:54.313,0,0
20-07-2024 12:53:54.317,0,0
20-07-2024 12:53:54.320,0,0
20-07-2024 12:53:54.323,0,0
20-07-2024 12:53:54.327,0,0
20-07-2024 12:53:54.332,0,0
20-07-2024 12:53:54.337,0,0
20-07-2024 12:53:54.340,0,0
20-07-2024 12:53:54.343,0,0
20-07-2024 12:53:54.344,0,0
20-07-2024 12:53:54.347,0,0
20-07-2024 12:53:54.349,0,0
20-07-2024 12:53:54.351,0,0
20-07-2024 12:53:54.353,0,0
20-07-2024 12:53:54.355,0,0
20-07-2024 12:53:54.359,0,0
20-07-2024 12:53:54.361,0,0
20-07-2024 12:53:54.363,0,0
20-07-2024 12:53:54.366,0,0
20-07-2024 12:53:54.367,0,0
20-07-2024 12:53:54.370,0,0
20-07-2024 12:53:54.372,0,0
20-07-2024 12:53:54.374,0,0
20-07-2024 12:53:54.376,0,0
20-07-2024 12:53:54.378,0,0
