Time,Encoder1,Encoder2
08-07-2024 10:26:25.830,0,0
08-07-2024 10:26:25.884,0,0
08-07-2024 10:26:25.912,0,0
08-07-2024 10:26:25.926,0,0
08-07-2024 10:26:25.935,0,0
08-07-2024 10:26:25.942,0,0
08-07-2024 10:26:25.950,0,0
08-07-2024 10:26:25.961,0,0
08-07-2024 10:26:25.967,0,0
08-07-2024 10:26:25.977,0,0
08-07-2024 10:26:25.984,0,0
08-07-2024 10:26:25.993,0,0
08-07-2024 10:26:26.001,0,0
08-07-2024 10:26:26.009,0,0
08-07-2024 10:26:26.019,0,0
08-07-2024 10:26:26.026,0,0
08-07-2024 10:26:26.035,0,0
08-07-2024 10:26:26.043,0,0
08-07-2024 10:26:26.052,0,0
08-07-2024 10:26:26.061,0,0
08-07-2024 10:26:26.067,0,0
08-07-2024 10:26:26.077,0,0
08-07-2024 10:26:26.085,0,0
08-07-2024 10:26:26.102,0,0
08-07-2024 10:26:26.109,0,0
08-07-2024 10:26:26.119,0,0
08-07-2024 10:26:26.126,0,0
08-07-2024 10:26:26.135,0,0
08-07-2024 10:26:26.142,0,0
08-07-2024 10:26:26.152,0,0
08-07-2024 10:26:26.160,0,0
08-07-2024 10:26:26.168,0,0
08-07-2024 10:26:26.177,0,0
08-07-2024 10:26:26.185,0,0
08-07-2024 10:26:26.193,0,0
08-07-2024 10:26:26.202,0,0
08-07-2024 10:26:26.209,0,0
08-07-2024 10:26:26.218,0,0
08-07-2024 10:26:26.226,0,0
08-07-2024 10:26:26.235,0,0
08-07-2024 10:26:26.243,0,0
08-07-2024 10:26:26.251,0,0
08-07-2024 10:26:26.261,0,0
08-07-2024 10:26:26.272,0,0
08-07-2024 10:26:26.278,0,0
08-07-2024 10:26:26.285,0,0
08-07-2024 10:26:26.293,0,0
08-07-2024 10:26:26.302,0,0
08-07-2024 10:26:26.310,0,0
08-07-2024 10:26:26.320,0,0
08-07-2024 10:26:26.328,0,0
08-07-2024 10:26:26.336,0,0
08-07-2024 10:26:26.344,0,0
08-07-2024 10:26:26.352,0,0
08-07-2024 10:26:26.361,0,0
08-07-2024 10:26:26.367,0,0
08-07-2024 10:26:26.378,0,0
08-07-2024 10:26:26.384,0,0
08-07-2024 10:26:26.393,0,0
08-07-2024 10:26:26.403,0,0
08-07-2024 10:26:26.410,0,0
08-07-2024 10:26:26.419,0,0
08-07-2024 10:26:26.426,0,0
08-07-2024 10:26:26.436,0,0
08-07-2024 10:26:26.443,0,0
08-07-2024 10:26:26.452,0,0
08-07-2024 10:26:26.460,0,0
08-07-2024 10:26:26.468,0,0
08-07-2024 10:26:26.477,0,0
08-07-2024 10:26:26.483,0,0
08-07-2024 10:26:26.492,0,0
08-07-2024 10:26:26.510,0,0
08-07-2024 10:26:26.520,0,0
08-07-2024 10:26:26.527,0,0
08-07-2024 10:26:26.536,0,0
08-07-2024 10:26:26.544,0,0
08-07-2024 10:26:26.551,0,0
08-07-2024 10:26:26.560,0,0
08-07-2024 10:26:26.568,0,0
08-07-2024 10:26:26.577,0,0
08-07-2024 10:26:26.585,0,0
08-07-2024 10:26:26.594,0,0
08-07-2024 10:26:26.602,0,0
08-07-2024 10:26:26.610,0,0
08-07-2024 10:26:26.619,0,0
08-07-2024 10:26:26.627,0,0
08-07-2024 10:26:26.636,0,0
08-07-2024 10:26:26.644,0,0
08-07-2024 10:26:26.652,0,0
08-07-2024 10:26:26.661,0,0
08-07-2024 10:26:26.669,0,0
08-07-2024 10:26:26.678,0,0
08-07-2024 10:26:26.685,0,0
08-07-2024 10:26:26.695,0,0
08-07-2024 10:26:26.714,0,0
08-07-2024 10:26:26.718,0,0
08-07-2024 10:26:26.727,0,0
08-07-2024 10:26:26.735,0,0
08-07-2024 10:26:26.743,0,0
08-07-2024 10:26:26.750,0,0
08-07-2024 10:26:26.763,0,0
08-07-2024 10:26:26.768,0,0
08-07-2024 10:26:26.778,0,0
08-07-2024 10:26:26.785,0,0
08-07-2024 10:26:26.796,0,0
08-07-2024 10:26:26.803,0,0
08-07-2024 10:26:26.811,0,0
08-07-2024 10:26:26.821,0,0
08-07-2024 10:26:26.827,0,0
08-07-2024 10:26:26.836,0,0
08-07-2024 10:26:26.844,0,0
08-07-2024 10:26:26.852,0,0
08-07-2024 10:26:26.862,0,0
08-07-2024 10:26:26.869,0,0
08-07-2024 10:26:26.879,0,0
08-07-2024 10:26:26.886,0,0
08-07-2024 10:26:26.895,0,0
08-07-2024 10:26:26.902,0,0
08-07-2024 10:26:26.920,0,0
08-07-2024 10:26:26.927,0,0
08-07-2024 10:26:26.937,0,0
08-07-2024 10:26:26.945,0,0
08-07-2024 10:26:26.952,0,0
08-07-2024 10:26:26.962,0,0
08-07-2024 10:26:26.970,0,0
08-07-2024 10:26:26.978,0,0
08-07-2024 10:26:26.987,0,0
08-07-2024 10:26:26.994,0,0
08-07-2024 10:26:27.002,0,0
08-07-2024 10:26:27.010,0,0
08-07-2024 10:26:27.019,0,0
08-07-2024 10:26:27.027,0,0
08-07-2024 10:26:27.036,0,0
08-07-2024 10:26:27.044,0,0
08-07-2024 10:26:27.052,0,0
08-07-2024 10:26:27.061,0,0
08-07-2024 10:26:27.069,0,0
08-07-2024 10:26:27.078,0,0
08-07-2024 10:26:27.085,0,0
08-07-2024 10:26:27.095,0,0
08-07-2024 10:26:27.102,0,0
08-07-2024 10:26:27.119,0,0
08-07-2024 10:26:27.127,0,0
08-07-2024 10:26:27.136,0,0
08-07-2024 10:26:27.144,0,0
08-07-2024 10:26:27.153,0,0
08-07-2024 10:26:27.161,0,0
08-07-2024 10:26:27.168,0,0
08-07-2024 10:26:27.178,0,0
08-07-2024 10:26:27.185,0,0
08-07-2024 10:26:27.197,0,0
08-07-2024 10:26:27.203,0,0
08-07-2024 10:26:27.210,0,0
08-07-2024 10:26:27.219,0,0
08-07-2024 10:26:27.226,0,0
08-07-2024 10:26:27.235,0,0
08-07-2024 10:26:27.243,0,0
08-07-2024 10:26:27.252,0,0
08-07-2024 10:26:27.261,0,0
08-07-2024 10:26:27.269,0,0
08-07-2024 10:26:27.278,0,0
08-07-2024 10:26:27.285,0,0
08-07-2024 10:26:27.295,0,0
08-07-2024 10:26:27.303,0,0
08-07-2024 10:26:27.319,0,0
08-07-2024 10:26:27.327,0,0
08-07-2024 10:26:27.335,0,0
08-07-2024 10:26:27.343,0,0
08-07-2024 10:26:27.351,0,0
08-07-2024 10:26:27.361,0,0
08-07-2024 10:26:27.368,0,0
08-07-2024 10:26:27.378,0,0
08-07-2024 10:26:27.385,0,0
08-07-2024 10:26:27.395,0,0
08-07-2024 10:26:27.401,0,0
08-07-2024 10:26:27.411,0,0
08-07-2024 10:26:27.421,0,0
08-07-2024 10:26:27.427,0,0
08-07-2024 10:26:27.436,0,0
08-07-2024 10:26:27.443,0,0
08-07-2024 10:26:27.451,0,0
08-07-2024 10:26:27.460,0,0
08-07-2024 10:26:27.467,0,0
08-07-2024 10:26:27.478,0,0
08-07-2024 10:26:27.485,0,0
08-07-2024 10:26:27.494,0,0
08-07-2024 10:26:27.502,0,0
08-07-2024 10:26:27.510,0,0
08-07-2024 10:26:27.528,0,0
08-07-2024 10:26:27.536,0,0
08-07-2024 10:26:27.544,0,0
08-07-2024 10:26:27.552,0,0
08-07-2024 10:26:27.560,0,0
08-07-2024 10:26:27.569,0,0
08-07-2024 10:26:27.580,0,0
08-07-2024 10:26:27.589,0,0
08-07-2024 10:26:27.597,0,0
08-07-2024 10:26:27.602,0,0
08-07-2024 10:26:27.610,0,0
08-07-2024 10:26:27.620,0,0
08-07-2024 10:26:27.627,0,0
08-07-2024 10:26:27.638,0,0
08-07-2024 10:26:27.646,0,0
08-07-2024 10:26:27.652,0,0
08-07-2024 10:26:27.662,0,0
08-07-2024 10:26:27.668,0,0
08-07-2024 10:26:27.678,0,0
08-07-2024 10:26:27.686,0,0
08-07-2024 10:26:27.694,0,0
08-07-2024 10:26:27.702,0,0
08-07-2024 10:26:27.711,0,0
08-07-2024 10:26:27.729,0,0
08-07-2024 10:26:27.737,0,0
08-07-2024 10:26:27.744,0,0
08-07-2024 10:26:27.752,0,0
08-07-2024 10:26:27.762,0,0
08-07-2024 10:26:27.769,0,0
08-07-2024 10:26:27.779,0,0
08-07-2024 10:26:27.785,0,0
08-07-2024 10:26:27.794,0,0
08-07-2024 10:26:27.802,0,0
08-07-2024 10:26:27.811,0,0
08-07-2024 10:26:27.820,0,0
08-07-2024 10:26:27.827,0,0
08-07-2024 10:26:27.835,0,0
08-07-2024 10:26:27.843,0,0
08-07-2024 10:26:27.852,0,0
08-07-2024 10:26:27.861,0,0
08-07-2024 10:26:27.868,0,0
08-07-2024 10:26:27.878,0,0
08-07-2024 10:26:27.885,0,0
08-07-2024 10:26:27.894,0,0
08-07-2024 10:26:27.901,0,0
08-07-2024 10:26:27.910,0,0
08-07-2024 10:26:27.920,0,0
08-07-2024 10:26:27.935,0,0
08-07-2024 10:26:27.944,0,0
08-07-2024 10:26:27.952,0,0
08-07-2024 10:26:27.961,0,0
08-07-2024 10:26:27.969,0,0
08-07-2024 10:26:27.978,0,0
08-07-2024 10:26:27.985,0,0
08-07-2024 10:26:27.994,0,0
08-07-2024 10:26:28.002,0,0
08-07-2024 10:26:28.010,0,0
08-07-2024 10:26:28.018,0,0
08-07-2024 10:26:28.027,0,0
08-07-2024 10:26:28.036,0,0
08-07-2024 10:26:28.044,0,0
08-07-2024 10:26:28.052,0,0
08-07-2024 10:26:28.062,0,0
08-07-2024 10:26:28.068,0,0
08-07-2024 10:26:28.078,0,0
08-07-2024 10:26:28.086,0,0
08-07-2024 10:26:28.096,0,0
08-07-2024 10:26:28.101,0,0
08-07-2024 10:26:28.110,0,0
08-07-2024 10:26:28.120,0,0
08-07-2024 10:26:28.127,0,0
08-07-2024 10:26:28.145,0,0
08-07-2024 10:26:28.153,0,0
08-07-2024 10:26:28.161,0,0
08-07-2024 10:26:28.167,0,0
08-07-2024 10:26:28.178,0,0
08-07-2024 10:26:28.185,0,0
08-07-2024 10:26:28.195,0,0
08-07-2024 10:26:28.202,0,0
08-07-2024 10:26:28.210,0,0
08-07-2024 10:26:28.220,0,0
08-07-2024 10:26:28.228,0,0
08-07-2024 10:26:28.236,0,0
08-07-2024 10:26:28.244,0,0
08-07-2024 10:26:28.251,0,0
08-07-2024 10:26:28.261,0,0
08-07-2024 10:26:28.271,0,0
08-07-2024 10:26:28.280,0,0
08-07-2024 10:26:28.285,0,0
08-07-2024 10:26:28.295,0,0
08-07-2024 10:26:28.302,0,0
08-07-2024 10:26:28.310,0,0
08-07-2024 10:26:28.319,0,0
08-07-2024 10:26:28.327,0,0
08-07-2024 10:26:28.339,0,0
08-07-2024 10:26:28.353,0,0
08-07-2024 10:26:28.364,0,0
08-07-2024 10:26:28.368,0,0
08-07-2024 10:26:28.378,0,0
08-07-2024 10:26:28.385,0,0
08-07-2024 10:26:28.395,0,0
08-07-2024 10:26:28.402,0,0
08-07-2024 10:26:28.410,0,0
08-07-2024 10:26:28.419,0,0
08-07-2024 10:26:28.427,0,0
08-07-2024 10:26:28.437,0,0
08-07-2024 10:26:28.444,0,0
08-07-2024 10:26:28.452,0,0
08-07-2024 10:26:28.461,0,0
08-07-2024 10:26:28.468,0,0
08-07-2024 10:26:28.478,0,0
08-07-2024 10:26:28.486,0,0
08-07-2024 10:26:28.494,0,0
08-07-2024 10:26:28.502,0,0
08-07-2024 10:26:28.510,0,0
08-07-2024 10:26:28.520,0,0
08-07-2024 10:26:28.527,0,0
08-07-2024 10:26:28.536,0,0
08-07-2024 10:26:28.543,0,0
08-07-2024 10:26:28.562,0,0
08-07-2024 10:26:28.568,0,0
08-07-2024 10:26:28.580,0,0
08-07-2024 10:26:28.586,0,0
08-07-2024 10:26:28.594,0,0
08-07-2024 10:26:28.602,0,0
08-07-2024 10:26:28.611,0,0
08-07-2024 10:26:28.620,0,0
08-07-2024 10:26:28.627,0,0
08-07-2024 10:26:28.637,0,0
08-07-2024 10:26:28.643,0,0
08-07-2024 10:26:28.652,0,0
08-07-2024 10:26:28.662,0,0
08-07-2024 10:26:28.669,0,0
08-07-2024 10:26:28.677,0,0
08-07-2024 10:26:28.685,0,0
08-07-2024 10:26:28.695,0,0
08-07-2024 10:26:28.702,0,0
08-07-2024 10:26:28.711,0,0
08-07-2024 10:26:28.721,0,0
08-07-2024 10:26:28.728,0,0
08-07-2024 10:26:28.737,0,0
08-07-2024 10:26:28.744,0,0
08-07-2024 10:26:28.761,0,0
08-07-2024 10:26:28.769,0,0
08-07-2024 10:26:28.779,0,0
08-07-2024 10:26:28.785,0,0
08-07-2024 10:26:28.795,0,0
08-07-2024 10:26:28.803,0,0
08-07-2024 10:26:28.811,0,0
08-07-2024 10:26:28.819,0,0
08-07-2024 10:26:28.828,0,0
08-07-2024 10:26:28.836,0,0
08-07-2024 10:26:28.844,0,0
08-07-2024 10:26:28.853,0,0
08-07-2024 10:26:28.861,0,0
08-07-2024 10:26:28.869,0,0
08-07-2024 10:26:28.878,0,0
08-07-2024 10:26:28.885,0,0
08-07-2024 10:26:28.894,0,0
08-07-2024 10:26:28.902,0,0
08-07-2024 10:26:28.910,0,0
08-07-2024 10:26:28.920,0,0
08-07-2024 10:26:28.927,0,0
08-07-2024 10:26:28.936,0,0
08-07-2024 10:26:28.943,0,0
08-07-2024 10:26:28.951,0,0
08-07-2024 10:26:28.969,0,0
08-07-2024 10:26:28.978,0,0
08-07-2024 10:26:28.984,0,0
08-07-2024 10:26:28.994,0,0
08-07-2024 10:26:29.002,0,0
08-07-2024 10:26:29.010,0,0
08-07-2024 10:26:29.020,0,0
08-07-2024 10:26:29.027,0,0
08-07-2024 10:26:29.036,0,0
08-07-2024 10:26:29.044,0,0
08-07-2024 10:26:29.051,0,0
08-07-2024 10:26:29.061,0,0
08-07-2024 10:26:29.068,0,0
08-07-2024 10:26:29.079,0,0
08-07-2024 10:26:29.085,0,0
08-07-2024 10:26:29.092,0,0
08-07-2024 10:26:29.103,0,0
08-07-2024 10:26:29.110,0,0
08-07-2024 10:26:29.119,0,0
08-07-2024 10:26:29.127,0,0
08-07-2024 10:26:29.139,0,0
08-07-2024 10:26:29.145,0,0
08-07-2024 10:26:29.155,0,0
08-07-2024 10:26:29.169,0,0
08-07-2024 10:26:29.179,0,0
08-07-2024 10:26:29.186,0,0
08-07-2024 10:26:29.196,0,0
08-07-2024 10:26:29.202,0,0
08-07-2024 10:26:29.211,0,0
08-07-2024 10:26:29.222,0,0
08-07-2024 10:26:29.228,0,0
08-07-2024 10:26:29.237,0,0
08-07-2024 10:26:29.245,0,0
08-07-2024 10:26:29.253,0,0
08-07-2024 10:26:29.261,0,0
08-07-2024 10:26:29.269,0,0
08-07-2024 10:26:29.279,0,0
08-07-2024 10:26:29.286,0,0
08-07-2024 10:26:29.295,0,0
08-07-2024 10:26:29.301,0,0
08-07-2024 10:26:29.311,0,0
08-07-2024 10:26:29.321,0,0
08-07-2024 10:26:29.327,0,0
08-07-2024 10:26:29.336,0,0
08-07-2024 10:26:29.343,0,0
08-07-2024 10:26:29.355,0,0
08-07-2024 10:26:29.361,0,0
08-07-2024 10:26:29.369,0,0
08-07-2024 10:26:29.379,0,0
08-07-2024 10:26:29.386,0,0
08-07-2024 10:26:29.396,0,0
08-07-2024 10:26:29.403,0,0
08-07-2024 10:26:29.411,0,0
08-07-2024 10:26:29.420,0,0
08-07-2024 10:26:29.430,0,0
08-07-2024 10:26:29.436,0,0
08-07-2024 10:26:29.444,0,0
08-07-2024 10:26:29.452,0,0
08-07-2024 10:26:29.463,0,0
08-07-2024 10:26:29.471,0,0
08-07-2024 10:26:29.479,0,0
08-07-2024 10:26:29.487,0,0
08-07-2024 10:26:29.495,0,0
08-07-2024 10:26:29.503,0,0
08-07-2024 10:26:29.512,0,0
08-07-2024 10:26:29.522,0,0
08-07-2024 10:26:29.528,0,0
08-07-2024 10:26:29.536,0,0
08-07-2024 10:26:29.545,0,0
08-07-2024 10:26:29.553,0,0
08-07-2024 10:26:29.563,0,0
08-07-2024 10:26:29.570,0,0
08-07-2024 10:26:29.581,0,0
08-07-2024 10:26:29.588,0,0
08-07-2024 10:26:29.595,0,0
08-07-2024 10:26:29.602,0,0
08-07-2024 10:26:29.612,0,0
08-07-2024 10:26:29.620,0,0
08-07-2024 10:26:29.627,0,0
08-07-2024 10:26:29.636,0,0
08-07-2024 10:26:29.644,0,0
08-07-2024 10:26:29.657,0,0
08-07-2024 10:26:29.666,0,0
08-07-2024 10:26:29.670,0,0
08-07-2024 10:26:29.679,0,0
08-07-2024 10:26:29.685,0,0
08-07-2024 10:26:29.697,0,0
08-07-2024 10:26:29.705,0,0
08-07-2024 10:26:29.712,0,0
08-07-2024 10:26:29.720,0,0
08-07-2024 10:26:29.729,0,0
08-07-2024 10:26:29.739,0,0
08-07-2024 10:26:29.746,0,0
08-07-2024 10:26:29.755,0,0
08-07-2024 10:26:29.763,0,0
08-07-2024 10:26:29.770,0,0
08-07-2024 10:26:29.782,0,0
08-07-2024 10:26:29.787,0,0
08-07-2024 10:26:29.795,0,0
08-07-2024 10:26:29.804,0,0
08-07-2024 10:26:29.812,0,0
08-07-2024 10:26:29.819,0,0
08-07-2024 10:26:29.828,0,0
08-07-2024 10:26:29.837,0,0
08-07-2024 10:26:29.843,0,0
08-07-2024 10:26:29.852,0,0
08-07-2024 10:26:29.863,0,0
08-07-2024 10:26:29.869,0,0
08-07-2024 10:26:29.880,0,0
08-07-2024 10:26:29.887,0,0
08-07-2024 10:26:29.896,0,0
08-07-2024 10:26:29.902,0,0
08-07-2024 10:26:29.911,0,0
08-07-2024 10:26:29.923,0,0
08-07-2024 10:26:29.928,0,0
08-07-2024 10:26:29.936,0,0
08-07-2024 10:26:29.944,0,0
08-07-2024 10:26:29.952,0,0
08-07-2024 10:26:29.961,0,0
08-07-2024 10:26:29.967,0,0
08-07-2024 10:26:29.979,0,0
08-07-2024 10:26:29.986,0,0
08-07-2024 10:26:29.994,0,0
08-07-2024 10:26:30.002,0,0
08-07-2024 10:26:30.010,0,0
08-07-2024 10:26:30.021,0,0
08-07-2024 10:26:30.028,0,0
08-07-2024 10:26:30.037,0,0
08-07-2024 10:26:30.044,0,0
08-07-2024 10:26:30.052,0,0
08-07-2024 10:26:30.061,0,0
08-07-2024 10:26:30.069,0,0
08-07-2024 10:26:30.080,0,0
08-07-2024 10:26:30.086,0,0
08-07-2024 10:26:30.095,0,0
08-07-2024 10:26:30.102,0,0
08-07-2024 10:26:30.110,0,0
08-07-2024 10:26:30.120,0,0
08-07-2024 10:26:30.127,0,0
08-07-2024 10:26:30.136,0,0
08-07-2024 10:26:30.143,0,0
08-07-2024 10:26:30.154,0,0
08-07-2024 10:26:30.162,0,0
08-07-2024 10:26:30.170,0,0
08-07-2024 10:26:30.179,0,0
08-07-2024 10:26:30.186,0,0
08-07-2024 10:26:30.195,0,0
08-07-2024 10:26:30.202,0,0
08-07-2024 10:26:30.209,0,0
08-07-2024 10:26:30.219,0,0
08-07-2024 10:26:30.227,0,0
08-07-2024 10:26:30.236,0,0
08-07-2024 10:26:30.245,0,0
08-07-2024 10:26:30.252,0,0
08-07-2024 10:26:30.261,0,0
08-07-2024 10:26:30.269,0,0
